slug,tier,filename,pages,text_status,pdf_present,text_present,status
101-option-trading-secrets-kenneth-r-trester,A,101 Option Trading Secrets - Kenneth.R.Trester.pdf,336,ok,True,True,needs_source_review
3-how-to-access-and-trade-the-world-s-biggest-market,A,3. How to Access and Trade the World's Biggest Market.pdf,315,ok,True,True,needs_source_review
a-complete-guide-to-technical-trading-tactics-2004,A,A_Complete_Guide_to_Technical_Trading_Tactics_2004_.pdf,287,ok,True,True,needs_source_review
a-short-course-in-technical-trading,A,A Short Course in Technical Trading.PDF,339,ok,True,True,needs_source_review
barry-rudd-stock-patterns-for-day-trading-and-swing-trading,A,Barry Rudd - Stock Patterns For Day Trading And Swing Trading.pdf,196,no_text,True,True,needs_source_review
bernstein-jake-the-compleat-day-trader-vol-i,A,"Bernstein, Jake - The Compleat Day Trader Vol I.pdf",242,no_text,True,True,needs_source_review
bernstein-jake-the-compleat-day-trader-vol-ii,A,"Bernstein, Jake - The Compleat Day Trader Vol II.pdf",260,no_text,True,True,needs_source_review
beyond-candlesticks-steve-nison,A,Beyond_Candlesticks__Steve_Nison_.pdf,276,ok,True,True,needs_source_review
bill-williams-new-trading-dimensions-how-to-profit-from-chaos-in-stocks-bonds-and-commodit,A,"Bill Williams - New Trading Dimensions - How To Profit From Chaos In Stocks, Bonds, And Commodities.pdf",102,ok,True,True,needs_source_review
bill-williams-trading-chaos,A,Bill Williams - Trading Chaos.pdf,251,no_text,True,True,needs_source_review
brett-steenbarger-psychology-of-trading,A,Brett Steenbarger - Psychology Of Trading.pdf,274,ok,True,True,needs_source_review
buy-and-hold-is-dead,A,Buy and Hold Is Dead.pdf,322,ok,True,True,needs_source_review
candlesticks-fibonacci-and-chart-pattern-trading-tools,A,Candlesticks Fibonacci and Chart Pattern Trading Tools.pdf,273,ok,True,True,needs_source_review
chande-kroll-the-new-technical-trader,A,Chande Kroll - The New Technical Trader.pdf,115,no_text,True,True,needs_source_review
come-into-my-trading-room-elder-alexander,A,Come Into My Trading Room - Elder Alexander.pdf,322,ok,True,True,needs_source_review
curtis-faith-way-of-the-turtle,A,Curtis Faith - Way of the Turtle.pdf,313,ok,True,True,needs_source_review
cynthia-kase-multi-dimensional-trading,A,Cynthia Kase - Multi-Dimensional Trading.pdf,3,no_text,True,True,needs_source_review
david-dreman-contrarian-investment-strategies-the-next-generation,A,David Dreman - Contrarian Investment Strategies - The Next Generation.pdf,478,no_text,True,True,needs_source_review
day-trading-the-currency-market,A,Day Trading the Currency Market.pdf,259,ok,True,True,needs_source_review
dean-lebaron-s-treasury-of-investment-wisdom-30-great-investing-minds-wiley,A,Dean Lebaron's Treasury Of Investment Wisdom 30 Great Investing Minds - Wiley.pdf,320,ok,True,True,needs_source_review
demark-tom-demark-on-day-trading-options,A,"DeMark,Tom - DeMark on day-trading options.pdf",364,no_text,True,True,needs_source_review
divorcing-the-dow-using-revolutionary-market-indicators-to-profit-from-the-stealth-boom-ah,A,Divorcing the Dow - Using Revolutionary Market Indicators to Profit From the Stealth Boom Ahead.pdf,273,ok,True,True,needs_source_review
elder-alexander-trading-for-a-living,A,Elder Alexander - Trading For A Living.pdf,312,no_text,True,True,needs_source_review
elliott-waves-principle,A,Elliott Waves Principle.pdf,111,ok,True,True,needs_source_review
fischer-robert-fibonacci-applications-and-strategies-for,A,"Fischer, Robert - Fibonacci Applications and Strategies for .pdf",93,no_text,True,True,needs_source_review
forex-misc-money-management-ryan-jones,A,Forex Misc - Money Management - Ryan Jones.pdf,115,ok,True,True,needs_source_review
gann-how-to-trade,A,Gann - How To Trade.pdf,5,no_text,True,True,needs_source_review
gann-w-d-new-stock-trend-detector,A,"Gann, W D  - New Stock Trend Detector.pdf",52,no_text,True,True,needs_source_review
gary-smith-how-i-trade-living,A,Gary Smith - How_i_trade_living.pdf,284,ok,True,True,needs_source_review
